ticker,name,sector,industry,region,currency_original,mode,score,mcap_b_usd,growth_yoy_pct,fcf_margin_ttm_pct,operating_margin_pct,profitability_state,distance_above_200d_ma_pct,distance_to_52w_high_pct,drawdown_52w_pct,volatility_annualized,weeks_on_list,first_seen_at,dq_grade,yahoo_url,aktienfinder_url
2345.TW,Accton Technology Corporation,Technology,Communication Equipment,TW,TWD,HYPERGROWTH,100,43.95,64.0,6.8,14.3,STABLE,,,,,1,2026-05-09,A+,https://finance.yahoo.com/quote/2345.TW,https://www.google.com/search?q=site%3Aaktienfinder.net%202345%20aktie
2383.TW,"Elite Material Co., Ltd.",Technology,Electronic Components,TW,TWD,HYPERGROWTH,100,53.29,52.5,-0.5,21.6,STABLE,,,,,1,2026-05-10,A+,https://finance.yahoo.com/quote/2383.TW,https://www.google.com/search?q=site%3Aaktienfinder.net%202383%20aktie
5269.TW,ASMedia Technology Inc.,Technology,Semiconductors,TW,TWD,HYPERGROWTH,100,3.32,39.4,25.2,23.1,STABLE,,,,,1,2026-05-09,A+,https://finance.yahoo.com/quote/5269.TW,https://www.google.com/search?q=site%3Aaktienfinder.net%205269%20aktie
ALAB,"Astera Labs, Inc.",Technology,Semiconductors,US,USD,HYPERGROWTH,100,49.28,93.4,24.0,20.1,TURNAROUND,,0.00,0.00,1.00,1,2026-05-08,A+,https://finance.yahoo.com/quote/ALAB,https://www.google.com/search?q=site%3Aaktienfinder.net%20ALAB%20aktie
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,US,USD,HYPERGROWTH,100,176.90,35.1,44.9,42.7,STABLE,,0.20,0.20,0.59,1,2026-05-08,A+,https://finance.yahoo.com/quote/ANET,https://www.google.com/search?q=site%3Aaktienfinder.net%20ANET%20aktie
CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,US,USD,HYPERGROWTH,100,7.32,137.7,6.0,19.8,STABLE,,,,,1,2026-05-11,A+,https://finance.yahoo.com/quote/CELH,https://www.google.com/search?q=site%3Aaktienfinder.net%20CELH%20aktie
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,US,USD,HYPERGROWTH,100,33.75,201.5,16.1,36.8,TURNAROUND,,0.13,0.13,0.97,1,2026-05-08,A+,https://finance.yahoo.com/quote/CRDO,https://www.google.com/search?q=site%3Aaktienfinder.net%20CRDO%20aktie
DASH,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,US,USD,HYPERGROWTH,100,70.03,33.1,15.6,5.3,TURNAROUND,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/DASH,https://www.google.com/search?q=site%3Aaktienfinder.net%20DASH%20aktie
DUOL,"Duolingo, Inc.",Technology,Software - Application,US,USD,HYPERGROWTH,100,4.98,26.5,28.4,15.4,STABLE,,0.23,0.23,0.61,1,2026-05-08,A+,https://finance.yahoo.com/quote/DUOL,https://www.google.com/search?q=site%3Aaktienfinder.net%20DUOL%20aktie
GRND,Grindr Inc.,Technology,Software - Application,US,USD,HYPERGROWTH,100,2.33,38.3,25.2,32.9,STABLE,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/GRND,https://www.google.com/search?q=site%3Aaktienfinder.net%20GRND%20aktie
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,US,USD,HYPERGROWTH,100,8.18,42.2,15.1,49.0,STABLE,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/HALO,https://www.google.com/search?q=site%3Aaktienfinder.net%20HALO%20aktie
LGN,Legence Corp.,Industrials,Engineering & Construction,US,USD,HYPERGROWTH,100,13.54,105.1,10.7,3.2,STABLE,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/LGN,https://www.google.com/search?q=site%3Aaktienfinder.net%20LGN%20aktie
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,US,USD,HYPERGROWTH,100,908.57,55.5,12.7,49.4,STABLE,,0.09,0.09,0.42,1,2026-05-10,A+,https://finance.yahoo.com/quote/LLY,https://www.google.com/search?q=site%3Aaktienfinder.net%20LLY%20aktie
LOAR,Loar Holdings Inc.,Industrials,Aerospace & Defense,US,USD,HYPERGROWTH,100,5.70,36.1,13.8,25.6,STABLE,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/LOAR,https://www.google.com/search?q=site%3Aaktienfinder.net%20LOAR%20aktie
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Internet Retail,US,USD,HYPERGROWTH,100,83.71,49.0,-12.9,6.9,STABLE,,0.33,0.33,0.44,0,2026-05-19,A+,https://finance.yahoo.com/quote/MELI,https://www.google.com/search?q=site%3Aaktienfinder.net%20MELI%20aktie
6669.TW,Wiwynn Corporation,Technology,Computer Hardware,TW,TWD,HYPERGROWTH,96,31.50,62.0,-2.1,6.3,STABLE,,,,,1,2026-05-10,A+,https://finance.yahoo.com/quote/6669.TW,https://www.google.com/search?q=site%3Aaktienfinder.net%206669%20aktie
