ticker,name,sector,industry,region,currency_original,mode,score,mcap_b_usd,growth_yoy_pct,fcf_margin_ttm_pct,operating_margin_pct,profitability_state,distance_above_200d_ma_pct,distance_to_52w_high_pct,drawdown_52w_pct,volatility_annualized,weeks_on_list,first_seen_at,dq_grade,yahoo_url,aktienfinder_url
AAPL,Apple Inc.,Technology,Consumer Electronics,US,USD,QUALITY_COMPOUNDER,100,4439.25,16.6,22.4,32.3,STABLE,,0.00,0.00,0.25,1,2026-05-10,A+,https://finance.yahoo.com/quote/AAPL,https://www.google.com/search?q=site%3Aaktienfinder.net%20AAPL%20aktie
ADBE,Adobe Inc.,Technology,Software - Application,US,USD,QUALITY_COMPOUNDER,100,102.41,12.0,38.1,38.8,STABLE,,0.17,0.17,0.41,1,2026-05-08,A+,https://finance.yahoo.com/quote/ADBE,https://www.google.com/search?q=site%3Aaktienfinder.net%20ADBE%20aktie
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,US,USD,QUALITY_COMPOUNDER,100,338.75,11.4,10.9,31.9,STABLE,,0.02,0.02,0.53,1,2026-05-10,A+,https://finance.yahoo.com/quote/AMAT,https://www.google.com/search?q=site%3Aaktienfinder.net%20AMAT%20aktie
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,EU,EUR,QUALITY_COMPOUNDER,100,694.63,13.2,24.5,36.0,STABLE,,0.06,0.06,0.47,1,2026-05-10,A+,https://finance.yahoo.com/quote/ASML,https://www.google.com/search?q=site%3Aaktienfinder.net%20ASML%20aktie
IDCC,"InterDigital, Inc.",Technology,Software - Application,US,USD,QUALITY_COMPOUNDER,100,6.88,-2.4,55.8,40.0,STABLE,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/IDCC,https://www.google.com/search?q=site%3Aaktienfinder.net%20IDCC%20aktie
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,US,USD,QUALITY_COMPOUNDER,100,43.67,14.3,17.7,31.8,STABLE,,,,,1,2026-05-10,A+,https://finance.yahoo.com/quote/IDXX,https://www.google.com/search?q=site%3Aaktienfinder.net%20IDXX%20aktie
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,US,USD,QUALITY_COMPOUNDER,100,238.98,11.5,22.1,41.2,STABLE,,0.07,0.07,0.57,1,2026-05-10,A+,https://finance.yahoo.com/quote/KLAC,https://www.google.com/search?q=site%3Aaktienfinder.net%20KLAC%20aktie
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,US,USD,QUALITY_COMPOUNDER,100,365.28,23.8,20.1,35.0,STABLE,,0.05,0.05,0.59,1,2026-05-10,A+,https://finance.yahoo.com/quote/LRCX,https://www.google.com/search?q=site%3Aaktienfinder.net%20LRCX%20aktie
3692.HK,Hansoh Pharmaceutical Group Company Limited,Healthcare,Drug Manufacturers - Specialty & Generic,CN,CNY,QUALITY_COMPOUNDER,97,30.28,32.0,34.3,29.6,STABLE,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/3692.HK,https://www.google.com/search?q=site%3Aaktienfinder.net%203692%20aktie
2330.TW,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,TW,TWD,QUALITY_COMPOUNDER,96,1833.81,35.1,17.5,58.1,STABLE,,,,,1,2026-05-09,A+,https://finance.yahoo.com/quote/2330.TW,https://www.google.com/search?q=site%3Aaktienfinder.net%202330%20aktie
300760.SZ,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",Healthcare,Medical Devices,CN,CNY,QUALITY_COMPOUNDER,96,28.47,1.4,18.0,33.3,STABLE,,,,,1,2026-05-09,A+,https://finance.yahoo.com/quote/300760.SZ,https://www.google.com/search?q=site%3Aaktienfinder.net%20300760%20aktie
603259.SS,"WuXi AppTec Co., Ltd.",Healthcare,Diagnostics & Research,CN,CNY,QUALITY_COMPOUNDER,96,46.46,28.8,19.4,40.6,STABLE,,,,,1,2026-05-10,A+,https://finance.yahoo.com/quote/603259.SS,https://www.google.com/search?q=site%3Aaktienfinder.net%20603259%20aktie
9633.HK,"Nongfu Spring Co., Ltd.",Consumer Defensive,Beverages - Non-Alcoholic,CN,CNY,QUALITY_COMPOUNDER,96,69.99,30.0,23.1,37.8,STABLE,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/9633.HK,https://www.google.com/search?q=site%3Aaktienfinder.net%209633%20aktie
9999.HK,"NetEase, Inc.",Communication Services,Electronic Gaming & Multimedia,CN,CNY,QUALITY_COMPOUNDER,96,81.97,3.0,29.7,30.2,STABLE,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/9999.HK,https://www.google.com/search?q=site%3Aaktienfinder.net%209999%20aktie
CHKP,Check Point Software Technologies Ltd.,Technology,Software - Infrastructure,US,USD,QUALITY_COMPOUNDER,96,13.35,4.8,26.5,27.7,STABLE,,,,,1,2026-05-08,A+,https://finance.yahoo.com/quote/CHKP,https://www.google.com/search?q=site%3Aaktienfinder.net%20CHKP%20aktie
GGG,Graco Inc.,Industrials,Specialty Industrial Machinery,US,USD,QUALITY_COMPOUNDER,96,12.50,2.2,23.0,25.5,STABLE,,,,,1,2026-05-10,A+,https://finance.yahoo.com/quote/GGG,https://www.google.com/search?q=site%3Aaktienfinder.net%20GGG%20aktie
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,US,USD,QUALITY_COMPOUNDER,96,21.88,7.2,15.0,23.3,STABLE,,,,,1,2026-05-10,A+,https://finance.yahoo.com/quote/MTD,https://www.google.com/search?q=site%3Aaktienfinder.net%20MTD%20aktie
