ticker,name,sector,industry,region,currency_original,mode,score,mcap_b_usd,growth_yoy_pct,fcf_margin_ttm_pct,operating_margin_pct,profitability_state,distance_above_200d_ma_pct,distance_to_52w_high_pct,drawdown_52w_pct,volatility_annualized,weeks_on_list,first_seen_at,dq_grade,yahoo_url,aktienfinder_url
1133.HK,Harbin Electric Company Limited,Industrials,Specialty Industrial Machinery,CN,CNY,TURNAROUND,100,7.01,9.3,4.4,6.9,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/1133.HK,https://www.google.com/search?q=site%3Aaktienfinder.net%201133%20aktie
196170.KQ,ALTEOGEN Inc.,Healthcare,Biotechnology,KR,KRW,TURNAROUND,100,12.51,26.9,55.9,30.4,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/196170.KQ,https://www.google.com/search?q=site%3Aaktienfinder.net%20196170%20aktie
7013.T,IHI Corporation,Industrials,Specialty Industrial Machinery,JP,JPY,TURNAROUND,100,17.81,7.8,1.9,12.3,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/7013.T,https://www.google.com/search?q=site%3Aaktienfinder.net%207013%20aktie
ALAB,"Astera Labs, Inc.",Technology,Semiconductors,US,USD,TURNAROUND,100,49.28,93.4,24.0,20.1,TURNAROUND,,0.00,0.00,1.00,1,2026-05-14,A+,https://finance.yahoo.com/quote/ALAB,https://www.google.com/search?q=site%3Aaktienfinder.net%20ALAB%20aktie
BCRX,"BioCryst Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,US,USD,TURNAROUND,100,2.22,7.5,29.8,-2.5,TURNAROUND,,,,,0,2026-05-19,A+,https://finance.yahoo.com/quote/BCRX,https://www.google.com/search?q=site%3Aaktienfinder.net%20BCRX%20aktie
CRDO,Credo Technology Group Holding Ltd,Technology,Semiconductors,US,USD,TURNAROUND,100,33.75,201.5,16.1,36.8,TURNAROUND,,0.13,0.13,0.97,1,2026-05-14,A+,https://finance.yahoo.com/quote/CRDO,https://www.google.com/search?q=site%3Aaktienfinder.net%20CRDO%20aktie
DASH,"DoorDash, Inc.",Consumer Cyclical,Internet Retail,US,USD,TURNAROUND,100,70.03,33.1,15.6,5.3,TURNAROUND,,,,,0,2026-05-15,A+,https://finance.yahoo.com/quote/DASH,https://www.google.com/search?q=site%3Aaktienfinder.net%20DASH%20aktie
DAVE,Dave Inc.,Technology,Software - Application,US,USD,TURNAROUND,100,3.10,46.7,14.2,38.3,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/DAVE,https://www.google.com/search?q=site%3Aaktienfinder.net%20DAVE%20aktie
FDVWF,Friedrich Vorwerk Group SE,Industrials,Engineering & Construction,EU,EUR,TURNAROUND,100,2.26,4.6,16.9,14.3,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/FDVWF,https://www.google.com/search?q=site%3Aaktienfinder.net%20FDVWF%20aktie
KNSA,"Kiniksa Pharmaceuticals International, plc",Healthcare,Drug Manufacturers - Specialty & Generic,US,USD,TURNAROUND,100,4.18,55.5,15.6,13.7,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/KNSA,https://www.google.com/search?q=site%3Aaktienfinder.net%20KNSA%20aktie
KRYS,"Krystal Biotech, Inc.",Healthcare,Biotechnology,US,USD,TURNAROUND,100,8.90,31.9,32.9,46.1,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/KRYS,https://www.google.com/search?q=site%3Aaktienfinder.net%20KRYS%20aktie
KXIAY,Kioxia Holdings Corporation/ADR,Technology,Semiconductors,JP,JPY,TURNAROUND,100,1.14,188.9,8.0,59.5,TURNAROUND,,,,,0,2026-05-17,A+,https://finance.yahoo.com/quote/KXIAY,https://www.google.com/search?q=site%3Aaktienfinder.net%20KXIAY%20aktie
FRPT,"Freshpet, Inc.",Consumer Defensive,Packaged Foods,US,USD,TURNAROUND,95,2.38,13.1,1.3,1.5,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/FRPT,https://www.google.com/search?q=site%3Aaktienfinder.net%20FRPT%20aktie
INSP,"Inspire Medical Systems, Inc.",Healthcare,Medical Devices,US,USD,TURNAROUND,95,1.27,1.6,9.3,-0.5,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/INSP,https://www.google.com/search?q=site%3Aaktienfinder.net%20INSP%20aktie
GRDN,"Guardian Pharmacy Services, Inc.",Healthcare,Medical Care Facilities,US,USD,TURNAROUND,94,2.38,2.2,4.6,6.2,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/GRDN,https://www.google.com/search?q=site%3Aaktienfinder.net%20GRDN%20aktie
ARGX,argenx SE,Healthcare,Biotechnology,US,USD,TURNAROUND,93,50.26,62.6,,30.0,TURNAROUND,,,,,0,2026-05-17,A+,https://finance.yahoo.com/quote/ARGX,https://www.google.com/search?q=site%3Aaktienfinder.net%20ARGX%20aktie
AVPT,"AvePoint, Inc.",Technology,Software - Infrastructure,US,USD,TURNAROUND,92,2.19,26.0,20.7,10.9,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/AVPT,https://www.google.com/search?q=site%3Aaktienfinder.net%20AVPT%20aktie
MGNI,"Magnite, Inc.",Communication Services,Advertising Agencies,US,USD,TURNAROUND,91,1.87,5.5,0.2,4.7,RECENT,,,,,0,2026-05-15,A+,https://finance.yahoo.com/quote/MGNI,https://www.google.com/search?q=site%3Aaktienfinder.net%20MGNI%20aktie
MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,US,USD,TURNAROUND,91,163.55,22.1,17.6,18.7,TURNAROUND,,0.04,0.04,0.65,0,2026-05-15,A+,https://finance.yahoo.com/quote/MRVL,https://www.google.com/search?q=site%3Aaktienfinder.net%20MRVL%20aktie
1833.HK,Ping An Healthcare and Technology Company Limited,Healthcare,Health Information Services,CN,CNY,TURNAROUND,90,2.93,9.3,-186.6,4.9,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/1833.HK,https://www.google.com/search?q=site%3Aaktienfinder.net%201833%20aktie
2344.TW,Winbond Electronics Corporation,Technology,Semiconductors,TW,TWD,TURNAROUND,90,16.27,91.3,-11.0,32.8,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/2344.TW,https://www.google.com/search?q=site%3Aaktienfinder.net%202344%20aktie
251270.KS,Netmarble Corporation,Communication Services,Electronic Gaming & Multimedia,KR,KRW,TURNAROUND,90,2.27,22.9,9.7,12.9,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/251270.KS,https://www.google.com/search?q=site%3Aaktienfinder.net%20251270%20aktie
600316.SS,"Jiangxi Hongdu Aviation Industry Co., Ltd.",Industrials,Aerospace & Defense,CN,CNY,TURNAROUND,90,3.34,73.5,-0.5,1.0,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/600316.SS,https://www.google.com/search?q=site%3Aaktienfinder.net%20600316%20aktie
AA,Alcoa Corporation,Basic Materials,Aluminum,US,USD,TURNAROUND,90,16.93,-5.2,8.6,13.9,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/AA,https://www.google.com/search?q=site%3Aaktienfinder.net%20AA%20aktie
AOMFF,Alstom SA,Industrials,Railroads,EU,EUR,TURNAROUND,90,11.09,4.1,3.0,3.3,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/AOMFF,https://www.google.com/search?q=site%3Aaktienfinder.net%20AOMFF%20aktie
LBTSF,"Almirall, S.A.",Healthcare,Drug Manufacturers - Specialty & Generic,EU,EUR,TURNAROUND,90,3.83,2.2,0.6,10.3,TURNAROUND,,,,,0,2026-05-19,A+,https://finance.yahoo.com/quote/LBTSF,https://www.google.com/search?q=site%3Aaktienfinder.net%20LBTSF%20aktie
MTUAF,MTU Aero Engines AG,Industrials,Aerospace & Defense,EU,EUR,TURNAROUND,90,20.31,5.7,,10.8,RECENT,,,,,0,2026-05-19,A+,https://finance.yahoo.com/quote/MTUAF,https://www.google.com/search?q=site%3Aaktienfinder.net%20MTUAF%20aktie
603858.SS,"Shandong Buchang Pharmaceuticals Co., Ltd.",Healthcare,Drug Manufacturers - Specialty & Generic,CN,CNY,TURNAROUND,89,2.40,-7.4,16.8,16.8,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/603858.SS,https://www.google.com/search?q=site%3Aaktienfinder.net%20603858%20aktie
AEMFF,AEM Holdings Ltd.,Technology,Semiconductor Equipment & Materials,SG,SGD,TURNAROUND,89,1.80,-15.7,31.2,17.7,TURNAROUND,,,,,0,2026-05-19,A+,https://finance.yahoo.com/quote/AEMFF,https://www.google.com/search?q=site%3Aaktienfinder.net%20AEMFF%20aktie
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,US,USD,TURNAROUND,88,3.59,9.7,14.1,-1.7,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/ACAD,https://www.google.com/search?q=site%3Aaktienfinder.net%20ACAD%20aktie
AUPH,Aurinia Pharmaceuticals Inc.,Healthcare,Biotechnology,US,USD,TURNAROUND,88,2.04,24.4,41.8,53.3,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/AUPH,https://www.google.com/search?q=site%3Aaktienfinder.net%20AUPH%20aktie
BULL,Webull Corporation,Technology,Software - Application,US,USD,TURNAROUND,84,3.72,,,2.4,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/BULL,https://www.google.com/search?q=site%3Aaktienfinder.net%20BULL%20aktie
LYFT,"Lyft, Inc.",Technology,Software - Application,US,USD,TURNAROUND,82,5.07,13.8,18.7,-0.3,RECENT,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/LYFT,https://www.google.com/search?q=site%3Aaktienfinder.net%20LYFT%20aktie
1803.T,Shimizu Corporation,Industrials,Engineering & Construction,JP,JPY,TURNAROUND,81,11.07,2.0,-4.4,7.0,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/1803.T,https://www.google.com/search?q=site%3Aaktienfinder.net%201803%20aktie
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,US,USD,TURNAROUND,79,275.31,16.3,23.7,5.5,RECENT,,,,,0,2026-05-15,A+,https://finance.yahoo.com/quote/GEV,https://www.google.com/search?q=site%3Aaktienfinder.net%20GEV%20aktie
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,US,USD,TURNAROUND,78,4.36,14.1,51.8,33.6,TURNAROUND,,,,,1,2026-05-14,A+,https://finance.yahoo.com/quote/LGND,https://www.google.com/search?q=site%3Aaktienfinder.net%20LGND%20aktie
