ticker,heimat_linie,option,anwendbar,grund,mcap_heute,mcap_unter_option,faktor,richtung,im_brett,rang_heute,brett,einordnung,emittent,heimat_status,tabellen_abdeckung_angenommen,mcap_waehrung
"AANNF","1AT1.MI|AT1.DE|AT1.SW|TOWN.VI","A","nein","Verhältnis nicht eindeutig: Kurs-Verhältnis nicht ganzzahlig","3624358400","","","nicht entscheidbar","nein","","","nicht entscheidbar","aroundtown sa","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","","USD"
"AANNF","1AT1.MI|AT1.DE|AT1.SW|TOWN.VI","B","nein","Heimat-Linie nicht eindeutig: mehrere Nicht-US-Linien","3624358400","","","nicht entscheidbar","nein","","","nicht entscheidbar","aroundtown sa","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","","USD"
"AANNF","1AT1.MI|AT1.DE|AT1.SW|TOWN.VI","C-100","nein","Tabellen-Abdeckung angenommen; Verhältniswert fehlt (kein Tabellen-Eintrag vorhanden)","3624358400","","","nicht entscheidbar","nein","","","nicht entscheidbar","aroundtown sa","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","ja","USD"
"AANNF","1AT1.MI|AT1.DE|AT1.SW|TOWN.VI","C-50","nein","Tabellen-Abdeckung angenommen; Verhältniswert fehlt (kein Tabellen-Eintrag vorhanden)","3624358400","","","nicht entscheidbar","nein","","","nicht entscheidbar","aroundtown sa","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","ja","USD"
"AANNF","1AT1.MI|AT1.DE|AT1.SW|TOWN.VI","C-nur-die-7","nein","kein Tabellen-Eintrag: außerhalb angenommener Abdeckung","3624358400","","","nicht entscheidbar","nein","","","nicht entscheidbar","aroundtown sa","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","nein","USD"
"ACEJF","ACE.MI","A","nein","Verhältnis nicht eindeutig: Kurs-Verhältnis nicht ganzzahlig","1840664832","","","nicht entscheidbar","nein","","","nicht entscheidbar","acea s.p.a.","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","","USD"
"ACEJF","ACE.MI","B","ja","B-Hypothese: einzige Nicht-US-Linie als Heimat-Linie (nicht bestätigt)","1840664832","4962055628.29568","2.695795313753069","zu klein","nein","","","Wahrheit nicht belegt","acea s.p.a.","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","","USD"
"ACEJF","ACE.MI","C-100","nein","Tabellen-Abdeckung angenommen; Verhältniswert fehlt (kein Tabellen-Eintrag vorhanden)","1840664832","","","nicht entscheidbar","nein","","","nicht entscheidbar","acea s.p.a.","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","ja","USD"
"ACEJF","ACE.MI","C-50","nein","Tabellen-Abdeckung angenommen; Verhältniswert fehlt (kein Tabellen-Eintrag vorhanden)","1840664832","","","nicht entscheidbar","nein","","","nicht entscheidbar","acea s.p.a.","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","ja","USD"
"ACEJF","ACE.MI","C-nur-die-7","nein","kein Tabellen-Eintrag: außerhalb angenommener Abdeckung","1840664832","","","nicht entscheidbar","nein","","","nicht entscheidbar","acea s.p.a.","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","nein","USD"
"ADDLF","ALIF-B.ST","A","nein","Verhältnis nicht eindeutig: Kurs-Verhältnis nicht ganzzahlig","5118290944","","","nicht entscheidbar","nein","","","nicht entscheidbar","addlife ab (publ)","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","","USD"
"ADDLF","ALIF-B.ST","B","ja","B-Hypothese: einzige Nicht-US-Linie als Heimat-Linie (nicht bestätigt)","5118290944","2017263748.1938944","0.39412838587432486","zu groß","nein","","","Wahrheit nicht belegt","addlife ab (publ)","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","","USD"
"ADDLF","ALIF-B.ST","C-100","nein","Tabellen-Abdeckung angenommen; Verhältniswert fehlt (kein Tabellen-Eintrag vorhanden)","5118290944","","","nicht entscheidbar","nein","","","nicht entscheidbar","addlife ab (publ)","Nicht-US-Gegenlinien; Heimat-/Primärstatus nicht abgeleitet","ja","USD"
